task,embedding,kernel,R,R2,kendalltau,log_loss,SE
cut_secreted,X_original_5_4.pkl,Matern5/2,0.05240925984422548,-0.008927796185068004,0.03696866609173116,178.8838654046527,1.2208397062659164
cut_secreted,X_sp_secretion_data_2_7.pkl,Matern5/2,-0.0797071130269808,-0.036180631492418236,0.020737474418320915,180.70192750325654,1.2538166383886544
cut_secreted,X_original_5_5.pkl,Matern5/2,0.06165752806347888,-0.005579800929199852,0.045251349941389685,178.56949767921296,1.216788508984794
cut_secreted,X_sp_secretion_data_5_4.pkl,Matern5/2,-0.20474392122905785,-0.06276559983727537,-0.09789307776883843,181.71235039917124,1.285985426946117
cut_secreted,X_small_3_6.pkl,Matern5/2,-0.37601812825255265,-0.014971679264772497,-0.23024695861518074,179.16328205866535,1.2281530268738248
cut_secreted,X_small_2_5.pkl,Matern5/2,-0.3760270648240691,-0.01497281186881394,-0.22811221860153008,179.16436678355146,1.2281543973663323
cut_secreted,X_original_4_6.pkl,Matern5/2,-0.43262764576114415,-0.022556809351063523,-0.27050205601545074,179.63768986899203,1.2373313129925647
cut_secreted,X_sp_secretion_data_2_2.pkl,Matern5/2,-0.3759595150261262,-0.014970822648166182,-0.2366511786561328,179.16391621488646,1.228151990336255
cut_secreted,X_small_1_1.pkl,Matern5/2,-0.12757593690719352,-0.01924696524451952,-0.12259506935536775,179.56171313403587,1.2333262800039821
cut_secreted,X_small_2_6.pkl,Matern5/2,-0.3759783588860262,-0.014969415959557475,-0.22963703289699483,179.1649510132178,1.22815028819135
cut_secreted,X_original_3_6.pkl,Matern5/2,-0.37590753211586914,-0.01496904659942877,-0.22689236716515826,179.16436110271277,1.2281498412520222
cut_secreted,X_original_1_5.pkl,Matern5/2,-0.15163225962183294,-0.035534147494654444,-0.08965908057332866,180.40584622973418,1.2530343689964147
cut_secreted,X_sp_secretion_data_2_6.pkl,Matern5/2,-0.37485287925158567,-0.07328445464253419,-0.2528142101880594,182.88241354883175,1.2987136277740288
cut_secreted,X_original_4_7.pkl,Matern5/2,-0.43329121155485417,-0.027147259078744046,-0.2634879102563128,179.88228182309152,1.2428859258383607
cut_secreted,X_original_3_4.pkl,Matern5/2,-0.4265558206155815,-0.018438707588930958,-0.27538146176093803,179.40265748936022,1.2323482585414285
cut_secreted,X_only_sp_secretion_data_1_3.pkl,Matern5/2,-0.4295010622252104,-0.01918139727547885,-0.2790410160700535,179.40797226988724,1.233246940352159
cut_secreted,X_original_2_6.pkl,Matern5/2,-0.10944338497885994,-0.03416790142347681,-0.07288612332321616,180.48082682613725,1.2513811610478078
cut_secreted,X_original_5_2.pkl,Matern5/2,0.03306944223025311,-0.016948622095848798,0.03053004689152498,179.38581418669705,1.2305452003418587
cut_secreted,X_original_1_2.pkl,Matern5/2,-0.22104555700192116,-0.02197181704939477,-0.14607720950552527,179.75046093550864,1.2366234508121021
cut_secreted,X_original_1_1.pkl,Matern5/2,0.23796297934629604,0.05440489988871555,0.1758530700951839,175.8046838781012,1.1442048168673853
cut_secreted,X_sp_secretion_data_3_1.pkl,Matern5/2,-0.37589350106214514,-0.01496730057770157,-0.23421147578338916,179.1631928767702,1.228147728501575
cut_secreted,X_original_1_4.pkl,Matern5/2,-0.41000561987173795,-0.026154551082561595,-0.25586383877898894,179.85141207049364,1.2416847126860917
cut_secreted,X_only_sp_secretion_data_4_4.pkl,Matern5/2,-0.36987038701491104,-0.028281668768252777,-0.22140303570148506,179.92995853708072,1.2442586032463592
cut_secreted,X_small_1_7.pkl,Matern5/2,0.01937651725802536,-0.008553404279477927,0.0012198514363718185,178.8783391899985,1.220386678303185
cut_secreted,X_only_sp_secretion_data_1_7.pkl,Matern5/2,-0.3881210762708798,-0.015497098772554896,-0.24732487872438622,179.19590226784175,1.228788803784693
cut_secreted,X_sp_secretion_data_1_2.pkl,Matern5/2,-0.4172522325490698,-0.017392663807424213,-0.268672278860893,179.30504449830283,1.231082507129103
cut_secreted,X_small_5_6.pkl,Matern5/2,0.05008404867856243,-0.009323201065152276,0.03513550909544697,178.9114774802155,1.2213181606999042
cut_secreted,X_sp_secretion_data_1_3.pkl,Matern5/2,-0.4199494450332168,-0.03250851362888807,-0.27507649890184505,180.21807605005722,1.2493732408424305
cut_secreted,X_small_4_2.pkl,Matern5/2,-0.39735305129021475,-0.02468555541846662,-0.2540340616244312,179.72309717622176,1.2399071739545384
cut_secreted,X_small_4_6.pkl,Matern5/2,-0.3980839776842863,-0.01624451923477932,-0.24122562154252714,179.23597246367834,1.2296932100078235
cut_secreted,X_original_1_3.pkl,Matern5/2,-0.1035907750748389,-0.017385952037502594,-0.0988079663461173,179.4794498530714,1.2310743856408748
cut_secreted,X_original_3_7.pkl,Matern5/2,-0.3759776852212675,-0.01497269052021033,-0.22475762715150754,179.16576138828407,1.228154250530063
cut_secreted,X_only_sp_secretion_data_5_3.pkl,Matern5/2,0.03727431208239962,-0.01443675618455642,0.03482998292939961,179.1162529109842,1.227505750291105
cut_secreted,X_only_sp_secretion_data_2_3.pkl,Matern5/2,-0.3787442002821054,-0.015076672268434788,-0.2278072557424371,179.17158074922924,1.2282800722662064
cut_secreted,X_small_1_2.pkl,Matern5/2,-0.41637547561500315,-0.01792417737079699,-0.26104820738356915,179.33314988752934,1.2317256580711604
cut_secreted,X_small_4_3.pkl,Matern5/2,-0.40530915140588425,-0.023320709765505487,-0.25525391306080303,179.6435194785426,1.2382556605634318
cut_secreted,X_small_3_4.pkl,Matern5/2,-0.3759293506025657,-0.014968633507724816,-0.23024695861518074,179.16578063005696,1.2281493413958813
cut_secreted,X_original_4_2.pkl,Matern5/2,-0.3898682354472955,-0.031051538032268677,-0.2640978359744987,180.1205352244839,1.247610246834198
cut_secreted,X_original_2_3.pkl,Matern5/2,-0.176728361532929,-0.047643068917894604,-0.05733301750947547,181.06683915379804,1.2676866088588141
cut_secreted,X_original_2_1.pkl,Matern5/2,-0.06931452381776854,-0.026214636743207453,-0.011283625786439322,180.10357397736996,1.2417574185433107
cut_secreted,X_original_5_7.pkl,Matern5/2,0.04299969678284445,-0.012832505633133318,0.039107349254062715,179.0368419586381,1.2255645481759665
cut_secreted,X_sp_secretion_data_5_1.pkl,Matern5/2,-0.0010176233556192273,-0.030972175248199507,0.07718307173716994,179.4044506888157,1.2475142149493021
cut_secreted,X_original_3_3.pkl,Matern5/2,-0.3760117791427728,-0.014969257158546911,-0.2332965872061103,179.16418769022636,1.228150096036292
cut_secreted,X_small_5_4.pkl,Matern5/2,0.06084073169966327,-0.005455713294379105,0.04402834048351429,178.55609841659108,1.2166383583870817
cut_secreted,X_sp_secretion_data_4_7.pkl,Matern5/2,-0.3405288197160073,-0.03708440218921072,-0.22018318426511324,180.43528163057027,1.2549102341406755
cut_secreted,X_small_2_2.pkl,Matern5/2,-0.4300395675080958,-0.037560470885989794,-0.2518993216107805,180.66239941159557,1.2554862947568424
cut_secreted,X_original_3_5.pkl,Matern5/2,-0.37481698636622685,-0.023570567159918454,-0.2836154589564478,179.65154390974848,1.2385579971916394
